time,Temp1,Temp2,Temp3,dates
1408800,26.010130877766763,22.996065099044483,21.00320532327316,2022-05-07 21:30:00
1409400,26.034539926326065,23.04330794697817,21.036575608356262,2022-05-07 21:40:00
1410000,26.05385762702096,23.08881686473181,21.069831313652283,2022-05-07 21:50:00
1410600,26.068043524288264,23.13250850951457,21.102916518082527,2022-05-07 22:00:00
1411200,26.077066766503258,23.17430286411985,21.135775524444156,2022-05-07 22:10:00
1411800,26.080906165166063,23.214123389397518,21.168352965340063,2022-05-07 22:20:00
1412400,26.079550235699006,23.251897170109974,21.200593908469735,2022-05-07 22:30:00
1413000,26.07299721978209,23.287555053897844,21.2324439611,2022-05-07 22:40:00
1413600,26.061255089173823,23.32103178309488,21.263849373518127,2022-05-07 22:50:00
1414200,26.044341531020223,23.352266119137607,21.294757141269645,2022-05-07 23:00:00
1414800,26.022283914673388,23.38120095933242,21.325115105986463,2022-05-07 23:10:00
1415400,25.995119240084637,23.407783445757776,21.3548720546138,2022-05-07 23:20:00
1416000,25.962894067869776,23.43196506609509,21.38397781684516,2022-05-07 23:30:00
1416600,25.92566443117897,23.453701746194675,21.412383360581515,2022-05-07 23:40:00
1417200,25.88349572954153,23.472953934199776,21.440040885232616,2022-05-07 23:50:00
1417800,25.836462604881216,23.48968667607019,21.466903912680827,2022-05-08 00:00:00
1418400,25.784648799945984,23.503869682359888,21.49292737573668,2022-05-08 00:10:00
1419000,25.72814699941378,23.515477386122186,21.518067703916557,2022-05-08 00:20:00
1419600,25.66705865398112,23.52448899183099,21.54228290637785,2022-05-08 00:30:00
1420200,25.601493787769225,23.53088851522554,21.56553265185612,2022-05-08 00:40:00
1420800,25.53157078941164,23.53466481400101,21.587778345449657,2022-05-08 00:50:00
1421400,25.45741618722109,23.53581160929086,21.608983202106643,2022-05-08 01:00:00
1422000,25.379164408866107,23.534327497891372,21.629112316673176,2022-05-08 01:10:00
1422600,25.296957526011415,23.530215955214512,21.64813273037072,2022-05-08 01:20:00
1423200,25.210944984410993,23.523485328981156,21.666013493657506,2022-05-08 01:30:00
1423800,25.1212833199622,23.5141488235188,21.682725724931952,2022-05-08 01:40:00
1424400,25.028135861270176,23.502224475053808,21.69824266581392,2022-05-08 01:50:00
1425000,24.93167241927814,23.48773511761064,21.71253973208628,2022-05-08 02:00:00
1425600,24.832068964563533,23.470708339841902,21.72559456053179,2022-05-08 02:10:00
1426200,24.72950729290629,23.451176432818382,21.737387051570987,2022-05-08 02:20:00
1426800,24.624174679771954,23.42917632886732,21.747899407601523,2022-05-08 02:30:00
1427400,24.516263524362884,23.404749531578123,21.757116166957204,2022-05-08 02:40:00
1428000,24.405970983918895,23.377942037107555,21.76502423342775,2022-05-08 02:50:00
1428600,24.29349859895725,23.348804246905686,21.77161290120236,2022-05-08 03:00:00
1429200,24.179051910169864,23.31739087220153,21.77687387558608,2022-05-08 03:10:00
1429800,24.062840067716724,23.28376083002377,21.780801288645996,2022-05-08 03:20:00
1430400,23.945075433632994,23.24797713143368,21.783391710546887,2022-05-08 03:30:00
1431000,23.825973178128656,23.210106761901297,21.784644156208728,2022-05-08 03:40:00
1431600,23.705750870543888,23.17022055411024,21.78456008729476,2022-05-08 03:50:00
1432200,23.5846280657366,23.128393053442405,21.78314340954389,2022-05-08 04:00:00
1432800,23.462825886689888,23.084702376395384,21.78040046545489,2022-05-08 04:10:00
1433400,23.340566604135063,23.039230062204577,21.776340022335493,2022-05-08 04:20:00
1434000,23.21807321398848,22.992060917949324,21.77097325573852,2022-05-08 04:30:00
1434600,23.09556901340936,22.943282857438412,21.764313728318104,2022-05-08 04:40:00
1435200,22.97327717628195,22.892986734182536,21.756377364143184,2022-05-08 04:50:00
1435800,22.851420328933774,22.841266168769696,21.74718241851864,2022-05-08 05:00:00
1436400,22.73022012689456,22.788217370973253,21.736749443372705,2022-05-08 05:10:00
1437000,22.609896833504,22.73393895693114,21.725101248272164,2022-05-08 05:20:00
1437600,22.490668901169208,22.67853176174251,21.712262857143855,2022-05-08 05:30:00
1438200,22.37275255606828,22.62209864784136,21.698261460782,2022-05-08 05:40:00
1438800,22.256361387092426,22.564744309508463,21.683126365232543,2022-05-08 05:50:00
1439400,22.141705939808013,22.506575073896634,21.666888936152542,2022-05-08 06:00:00
1440000,22.028993316211107,22.44769869894571,21.64958253924986,2022-05-08 06:10:00
1440600,21.918426781038647,22.388224168572645,21.631242476916487,2022-05-08 06:20:00
1441200,21.81020537538153,22.328261485528273,21.611905921177755,2022-05-08 06:30:00
1441800,21.70452353834062,22.267921462310895,21.591611843080845,2022-05-08 06:40:00
1442400,21.60157073744164,22.207315510538606,21.570400938661678,2022-05-08 06:50:00
1443000,21.501531108514342,22.146555429204547,21.54831555170654,2022-05-08 07:00:00
1443600,21.40458310572068,22.085753192074264,21.525399593053717,2022-05-08 07:10:00
1444200,21.31089916240041,22.02502073496836,21.501698457396294,2022-05-08 07:20:00
1444800,21.220645363377336,21.96446974293221,21.47725893697168,2022-05-08 07:30:00
1445400,21.13398112935143,21.904211437936368,21.45212913261657,2022-05-08 07:40:00
1446000,21.051058913977528,21.844356367464943,21.42635836235372,2022-05-08 07:50:00
1446600,20.972023914207373,21.78501419438316,21.39999706766387,2022-05-08 08:00:00
1447200,20.897013794445165,21.726293488487077,21.373096717619216,2022-05-08 08:10:00
1447800,20.82615842504608,21.668301520132463,21.34570971105935,2022-05-08 08:20:00
1448400,20.75957963564916,21.61114405633544,21.317889276996528,2022-05-08 08:30:00
1449000,20.697390983820284,21.554925159734093,21.289689373440755,2022-05-08 08:40:00
1449600,20.639697539443084,21.499746990792115,21.261164584836006,2022-05-08 08:50:00
1450200,20.58659568526705,21.44570961362372,21.232370018303275,2022-05-08 09:00:00
1450800,20.53817293399661,21.392910805807283,21.203361198888693,2022-05-08 09:10:00
1451400,20.49450776226606,21.34144587252228,21.17419396394107,2022-05-08 09:20:00
1452000,20.455669461814136,21.291407465526696,21.144924357200093,2022-05-08 09:30:00
1452600,20.421718008157555,21.242885406938225,21.115608522024782,2022-05-08 09:40:00
1453200,20.39270394698715,21.195966518605506,21.08630259472384,2022-05-08 09:50:00
1453800,20.36866829852256,21.1507344571292,21.05706259785997,2022-05-08 10:00:00
1454400,20.349642480004466,21.107269554900046,21.027944333750284,2022-05-08 10:10:00
1455000,20.335648246468104,21.06564866746863,20.999003278384137,2022-05-08 10:20:00
1455600,20.326697649914077,21.02594502753212,20.97029447596192,2022-05-08 10:30:00
1456200,20.322793016952964,20.988228105819665,20.94187243425394,2022-05-08 10:40:00
1456800,20.32392694496687,20.952563479138263,20.91379102098217,2022-05-08 10:50:00
1457400,20.33008231679538,20.91901270583116,20.88610336141756,2022-05-08 11:00:00
1458000,20.34123233391789,20.887633208888005,20.858861737391205,2022-05-08 11:10:00
1458600,20.35734056807105,20.858478166924193,20.83211748791003,2022-05-08 11:20:00
1459200,20.37836103119971,20.83159641324486,20.80592091156681,2022-05-08 11:30:00
1459800,20.404238263612186,20.80703234317801,20.780321170929305,2022-05-08 11:40:00
1460400,20.434907440169525,20.784825829859216,20.75536619909304,2022-05-08 11:50:00
1461000,20.47029449430965,20.765012148624045,20.73110260857261,2022-05-08 12:00:00
1461600,20.510316259666705,20.74762191015597,20.70757560270655,2022-05-08 12:10:00
1462200,20.554880629018616,20.73268100251588,20.684828889745337,2022-05-08 12:20:00
1462800,20.60388673026268,20.72021054216118,20.662904599784483,2022-05-08 12:30:00
1463400,20.657225119077687,20.71022683405296,20.641843204701573,2022-05-08 12:40:00
1464000,20.714777987913845,20.702741340922785,20.621683441250408,2022-05-08 12:50:00
1464600,20.776419390907208,20.69776066176049,20.602462237457473,2022-05-08 13:00:00
1465200,20.84201548429287,20.695286519563588,20.5842146424628,2022-05-08 13:10:00
1465800,20.911424781860283,20.695315758370537,20.566973759936065,2022-05-08 13:20:00
1466400,20.984498424962496,20.69784034960739,20.550770685270884,2022-05-08 13:30:00
1467000,21.06108046656635,20.702847407608548,20.535634446303273,2022-05-08 13:40:00
1467600,21.14100816880427,20.71031921458085,20.521591948411707,2022-05-08 13:50:00
1468200,21.224112313460203,20.720233254607155,20.508667923394068,2022-05-08 14:00:00
1468800,21.310217524798055,20.73256225683766,20.496884882505263,2022-05-08 14:10:00
1469400,21.39914260412107,20.747274247740673,20.48626307374463,2022-05-08 14:20:00
1470000,21.490700875421936,20.764332612310707,20.47682044345484,2022-05-08 14:30:00
1470600,21.58470054146872,20.78369616411428,20.468572602304004,2022-05-08 14:40:00
1471200,21.6809450496463,20.805319224043583,20.461532795714096,2022-05-08 14:50:00
1471800,21.779233466859843,20.82915170762671,20.455711878794528,2022-05-08 15:00:00
1472400,21.8793608627841,20.85513922072941,20.451118295826188,2022-05-08 15:10:00
1473000,21.9811187007316,20.88322316346695,20.447758064337933,2022-05-08 15:20:00
1473600,22.084295235394155,20.913340842127713,20.44563476380473,2022-05-08 15:30:00
1474200,22.18867591669984,20.94542558889447,20.444749528987444,2022-05-08 15:40:00
1474800,22.2940437990203,20.9794068891398,20.445101047932187,2022-05-08 15:50:00
1475400,22.400179954945028,21.015210516047105,20.44668556462569,2022-05-08 16:00:00
1476000,22.506863892838638,21.052758672309675,20.449496886309912,2022-05-08 16:10:00
1476600,22.6138739773846,21.091970138627637,20.453526395435816,2022-05-08 16:20:00
1477200,22.720987852314703,21.13276042873039,20.458763066236767,2022-05-08 16:30:00
1477800,22.82798286452206,21.17504195062491,20.465193485889827,2022-05-08 16:40:00
1478400,22.93463648874573,21.218724173734365,20.472801880152943,2022-05-08 16:50:00
1479000,23.04072675201973,21.26371380176831,20.48157014379756,2022-05-08 17:00:00
1479600,23.14603265709413,21.309914950630308,20.49147787503087,2022-05-08 17:10:00
1480200,23.250334603989103,21.35722933145544,20.502502414576064,2022-05-08 17:20:00
1480800,23.35341480890948,21.40555643817229,20.514618889017303,2022-05-08 17:30:00
1481400,23.455057719707607,21.454793739291546,20.52780025834597,2022-05-08 17:40:00
1482000,23.555050427111365,21.504836873557164,20.542017367632905,2022-05-08 17:50:00
1482600,23.65318307092773,21.555579849092705,20.557239002733603,2022-05-08 18:00:00
1483200,23.749249240453377,21.60691524565873,20.573431949916294,2022-05-08 18:10:00
1483800,23.84304636832748,21.658734419640076,20.590561059303973,2022-05-08 18:20:00
1484400,23.93437611707907,21.710927711369635,20.60858931200586,2022-05-08 18:30:00
1485000,24.023044757630423,21.763384654396074,20.62747789081289,2022-05-08 18:40:00
1485600,24.108863539038477,21.81599418629652,20.647186254321728,2022-05-08 18:50:00
1486200,24.19164904876905,21.86864486063297,20.667672214346887,2022-05-08 19:00:00
1486800,24.271223562817585,21.92122505964939,20.68889201647369,2022-05-08 19:10:00
1487400,24.347415385012503,21.97362320730373,20.710800423598126,2022-05-08 19:20:00
1488000,24.420059174850405,22.025727982231217,20.733350802296354,2022-05-08 19:30:00
1488600,24.48899626324406,22.077428530231767,20.756495211857462,2022-05-08 19:40:00
1489200,24.55407495557872,22.128614675878005,20.78018449581189,2022-05-08 19:50:00
1489800,24.61515082150128,22.17917713284066,20.804368375780935,2022-05-08 20:00:00
1490400,24.67208697088958,22.229007712532127,20.828995547468207,2022-05-08 20:10:00
1491000,24.724754315477096,22.27799953066936,20.85401377861104,2022-05-08 20:20:00
1491600,24.77303181563466,22.326047211364003,20.87937000870529,2022-05-08 20:30:00
1492200,24.816806711839263,22.373047088351314,20.905010450314247,2022-05-08 20:40:00
1492800,24.8559747403888,22.418897402974657,20.930880691768333,2022-05-08 20:50:00
1493400,24.890440332952945,22.46349849854754,20.956925801060144,2022-05-08 21:00:00
1494000,24.92011679957992,22.50675301074745,20.983090430809536,2022-05-08 21:10:00
1494600,24.944926494806904,22.54856605354796,21.009318923732515,2022-05-08 21:20:00
1495200,24.964800966566415,22.588845400642818,21.035555419146448,2022-05-08 21:30:00
1495800,24.979681087594244,22.62750166164841,21.0617439596102,2022-05-08 21:40:00
1496400,24.98951716909829,22.664448452969047,21.087828597776394,2022-05-08 21:50:00
1497000,24.994269056463786,22.699602562953203,21.113753503255733,2022-05-08 22:00:00
1497600,24.993906206819258,22.732884111019494,21.139463069267535,2022-05-08 22:10:00
1498200,24.988407748308735,22.764216700452117,21.164902018872564,2022-05-08 22:20:00
1498800,24.97776252096376,22.793527564570233,21.190015510585308,2022-05-08 22:30:00
1499400,24.961969099091583,22.820747705998983,21.214749243166484,2022-05-08 22:40:00
1500000,24.941035795140547,22.84581202877351,21.23904955939291,2022-05-08 22:50:00
1500600,24.914980645032625,22.86865946302565,21.262863548612195,2022-05-08 23:00:00
1501200,24.88383137499109,22.88923308201392,21.286139147881546,2022-05-08 23:10:00
1501800,24.84762534992992,22.907480211278497,21.30882524150375,2022-05-08 23:20:00
1502400,24.806409503495008,22.92335252970709,21.33087175876608,2022-05-08 23:30:00
1503000,24.76024024989914,22.93680616232397,21.352229769699328,2022-05-08 23:40:00
1503600,24.709183377710787,22.947801764622685,21.372851578672822,2022-05-08 23:50:00
